fromNode,toNode,weight
CREBBP,KLF1,0.618
CREBBP,ATXN3,0.457
SMURF2,RPS27A,0.96
SMURF2,UBA52,0.937
SMURF2,SMAD5,0.709
SMURF2,NEDD4L,0.405
SMURF2,TGFBR2,0.716
SMURF2,CTNNB1,0.718
SMURF2,SKIL,0.63
SMURF2,PTCH1,0.802
ERP44,ERO1B,0.645
SMURF2,NCOR2,0.499
ERP44,EDEM3,0.47
SMURF2,RLIM,0.546
SMURF2,EGFR,0.457
SMURF2,UBC,0.956
CFAP20,ENKUR,0.862
INVS,PTK2B,0.42
CSNK2A2,TP53,0.622
CSNK2A2,LARP7,0.457
CSNK2A2,RNF2,0.761
CSNK2A2,CDK11A,0.435
CSNK2A2,NKAP,0.547
CSNK2A2,PHC1,0.648
CFAP20,CFAP45,0.831
CSNK2A2,CHD4,0.459
CSNK2A2,CBX8,0.582
CSNK2A2,HSP90AA1,0.511
CSNK2A2,KMT5B,0.817
CSNK2A2,SCMH1,0.499
CSNK2A2,BRD4,0.459
CSNK2A2,BMI1,0.728
SRCAP,INO80,0.54
CSNK2A2,CSNK2B,0.988
CSNK2A2,FBRSL1,0.632
CSNK2A2,NR1D2,0.42
CSNK2A2,RUNX1,0.499
CSNK2A2,YAF2,0.761
CSNK2A2,PHC3,0.643
SRCAP,ACTR8,0.54
SRCAP,H2AZ1,0.861
IMPAD1,BPNT1,0.9
SRCAP,UCHL5,0.54
SRCAP,H2BC8,0.461
SRCAP,RUVBL1,0.99
SRCAP,CFDP1,0.836
SRCAP,ANP32E,0.685
SRCAP,ING3,0.565
SRCAP,INO80C,0.54
SRCAP,TFPT,0.54
SRCAP,ACTL6A,0.776
SRCAP,INO80D,0.54
SRCAP,EP300,0.51
VAMP7,ANKRD27,0.934
VAMP7,TFRC,0.499
VAMP7,STX2,0.604
VAMP7,NAPB,0.554
VAMP7,STX12,0.982
VAMP7,GOSR2,0.72
VAMP7,PIK3C2A,0.499
VAMP7,CD36,0.654
VAMP7,SNX2,0.499
VAMP7,STXBP5,0.54
VAMP7,SNX9,0.499
VAMP7,AP1M2,0.499
VAMP7,NECAP1,0.499
VAMP7,VTI1A,0.981
VAMP7,NAPG,0.713
VAMP7,AP4B1,0.499
IMPAD1,IMPA1,0.9
CDKN2C,CDK6,0.999
PHLPP1,BTRC,0.457
PHLPP1,USP1,0.668
PHLPP1,AKT3,0.4
PHLPP1,WDR20,0.509
PRKX,PRKACB,0.54
PHLPP1,TBC1D4,0.62
PHLPP1,DLG4,0.471
CBFA2T2,RUNX1,0.605
PRKX,PRKAR2A,0.686
BPI,ELANE,0.764
CSE1L,EGFR,0.4
E2F3,RBL1,0.637
E2F3,E2F1,0.967
E2F3,RB1,0.955
CSE1L,USP1,0.559
E2F3,E2F2,0.952
E2F3,TFDP2,0.918
CSE1L,CASZ1,0.43
CSE1L,TWF1,0.547
CSE1L,TNPO1,0.419
CSE1L,UBR1,0.529
CSE1L,KPNA2,0.694
GAB1,SOS1,0.775
CSE1L,WDR5,0.408
GAB1,ERBB2,0.557
GAB1,KL,0.4
GAB1,FRS2,0.92
GAB1,PIK3CA,0.903
GAB1,SRC,0.633
GAB1,PIK3CG,0.645
GAB1,TGFA,0.4
GAB1,BAG4,0.499
EEF2K,NCBP1,0.439
E2F3,CDK2,0.695
GAB1,HSP90AA1,0.499
GAB1,PTPN11,0.997
GAB1,PIK3R1,0.947
EEF2K,HSP90AB1,0.4
EEF2K,HSP90AA1,0.4
DHTKD1,DLAT,0.551
GAB1,EGFR,0.99
GAB1,LYN,0.565
GAB1,GRB2,0.998
EEF2K,FBXW11,0.457
GAB1,RASA1,0.51
EEF2K,BTRC,0.623
GAB1,CRK,0.758
DPH1,DPH3,0.818
ITGAE,EMILIN1,0.54
ITGAE,ITGB3,0.563
ITGAE,ITGA6,0.54
MAP3K8,FBXW11,0.499
MAP3K8,BTRC,0.499
MAP3K8,REL,0.42
METTL16,METTL14,0.963
METTL16,RBM15,0.98
METTL16,METTL3,0.916
METTL16,LARP7,0.466
ITGAE,ITGB5,0.563
CAPZA1,CD2AP,0.853
RAB36,COG7,0.499
RAB36,COG5,0.499
RAB36,GCC2,0.439
CAPZA1,WASHC4,0.925
PRKCQ,PDPK1,0.403
PRKCQ,TRAF6,0.7
PRKCQ,TAB2,0.499
PRKCQ,CD28,0.884
PRKCQ,MAP3K7,0.716
PRKCQ,MALT1,0.63
PRKCQ,MEF2A,0.421
PRKCQ,BCL10,0.864
CAPZA1,ACTB,0.929
CAPZA1,EPB41L3,0.499
CAPZA1,CNOT6,0.424
CAPZA1,CNOT10,0.436
CAPZA1,TWF1,0.959
CAPZA1,KIF3C,0.499
CAPZA1,KLC3,0.499
CAPZA1,ADD1,0.54
CAPZA1,NCK1,0.4
CAPZA1,RAB6B,0.499
CAPZA1,BICDL1,0.8
CAPZA1,TPRN,0.499
CAPZA1,ESPN,0.499
CAPZA1,CNOT3,0.429
CAPZA1,DCTN4,0.972
CAPZA1,KIF18A,0.499
CAPZA1,GALNT1,0.499
KIF18A,DCTN4,0.499
KIF18A,KIFBP,0.957
CAPZA1,KIF5B,0.499
KIF18A,ANAPC4,0.551
KIF18A,KIFAP3,0.54
CAPZA1,TNKS1BP1,0.517
KIF18A,KIF5B,0.54
CAPZA1,KIFAP3,0.499
CAPZA1,WASHC5,0.955
KIF18A,KIFC3,0.54
CAPZA1,DYNLRB1,0.8
CAPZA1,ADD2,0.54
CAPZA1,MTPN,0.832
CAPZA1,EPS8L2,0.499
ARFGAP3,TMED3,0.499
ARFGAP3,TMED7,0.499
ARFGAP3,COPG2,0.708
KIF18A,BRCA1,0.439
KIF18A,KIF3C,0.54
EP300,POLR2L,0.517
EP300,KLF4,0.793
EP300,MED6,0.538
EP300,SMAD5,0.499
EP300,H4C13,0.9
EP300,H2BC11,0.947
EP300,NCOA3,0.998
EP300,H2AC6,0.499
EP300,RPS6KA5,0.414
EP300,CREB1,0.998
EP300,PLAGL1,0.457
EP300,H3C1,0.886
EP300,H4C8,0.9
EP300,MED30,0.499
EP300,REL,0.695
EP300,TAL1,0.748
EP300,POLR2F,0.584
EP300,TCF4,0.423
EP300,PPARG,0.968
EP300,SMARCB1,0.43
EP300,PPARD,0.457
EP300,TAF1C,0.499
EP300,GPS2,0.528
EP300,GABPA,0.457
EP300,SMAD4,0.956
EP300,H4C15,0.9
EP300,ZBTB16,0.661
EP300,CDK19,0.499
EP300,MYSM1,0.8
EP300,POLR2K,0.499
EP300,ACTL6A,0.447
EP300,ARNTL,0.93
EP300,PAX5,0.457
EP300,NCOA2,0.993
EP300,MAML2,0.931
EP300,TGFBR1,0.534
EP300,H4-16,0.9
EP300,MED20,0.499
EP300,MED1,0.813
EP300,TCF7L2,0.935
EP300,GTF2A1,0.499
EP300,CREB3L4,0.8
EP300,PTGS2,0.457
EP300,NFATC2,0.44
EP300,RB1,0.457
EP300,FBXO3,0.457
EP300,ATM,0.776
EP300,H2AZ1,0.499
EP300,H3C12,0.895
EP300,H2BC21,0.734
EP300,TEX10,0.442
EP300,H2BC9,0.499
EP300,IRF4,0.414
EP300,ARNT,0.997
EP300,KLF1,0.614
EP300,ZEB1,0.87
EP300,CCNC,0.499
EP300,RBBP5,0.645
EP300,NFYA,0.753
EP300,POLR1A,0.499
EP300,WDR5,0.817
EP300,POLR2E,0.499
EP300,NR1H3,0.675
EP300,POLR2H,0.499
EP300,MEF2A,0.978
EP300,MED26,0.499
EP300,E2F1,0.763
EP300,CDK8,0.499
EP300,H4C12,0.9
EP300,MED14,0.499
EP300,STAT3,0.989
EP300,H4C11,0.9
EP300,RUNX1,0.974
EP300,H4C14,0.926
EP300,TFAP2E,0.499
EP300,BRCA1,0.914
EP300,ESR1,0.941
EP300,PCNA,0.457
EP300,JMY,0.988
EP300,H2BC17,0.499
EP300,DPY30,0.499
EP300,H4C2,0.9
EP300,H4C3,0.9
EP300,ZNF148,0.629
EP300,H4C4,0.9
EP300,BTRC,0.435
EP300,TAF1D,0.499
EP300,MAML3,0.906
EP300,H4C5,0.9
EP300,H2AC20,0.716
EP300,H4C1,0.9
EP300,HDAC1,0.981
EP300,SPHK1,0.457
EP300,CDK2,0.648
EP300,H3-4,0.457
EP300,TDG,0.745
EP300,CTNNB1,0.994
EP300,ZNRD1,0.499
EP300,POU2F1,0.885
EP300,XPA,0.863
EP300,HDAC2,0.649
EP300,POLR1C,0.58
EP300,SRC,0.919
EP300,POLR1E,0.499
EP300,MED13,0.499
EP300,ATXN3,0.539
EP300,BRD4,0.941
EP300,BCL11B,0.501
EP300,DDX21,0.499
EP300,UBC,0.457
EP300,CDK9,0.409
EP300,TP53,0.999
EP300,ATF2,0.96
EP300,H2BC4,0.499
EP300,MED7,0.499
EP300,H3C13,0.499
EP300,NRIP1,0.8
EP300,SKP2,0.876
EP300,PRKCA,0.457
EP300,MED23,0.517
BRD4,DNAJC9,0.457
EP300,MED21,0.499
EP300,CHD4,0.726
BRD4,NIFK,0.457
EP300,MED19,0.499
EP300,FOXO3,0.95
EP300,FOXP3,0.808
EP300,POLR1B,0.499
BRD4,RPS11,0.457
EP300,ING2,0.9
BRD4,MFAP1,0.457
BRD4,RPS9,0.457
EP300,H4C9,0.926
BRD4,RTF1,0.617
BRD4,RFC1,0.457
BRD4,H3C1,0.646
BRD4,RFC5,0.457
BRD4,HMGN3,0.457
BRD4,MCM2,0.457
BRD4,NKRF,0.457
BRD4,RPS16,0.457
BRD4,EHMT2,0.503
BRD4,BMI1,0.457
BRD4,RPS13,0.457
BRD4,CHD3,0.457
BRD4,GTPBP4,0.564
BRD4,BAIAP2,0.457
BRD4,ATAD2,0.414
BRD4,INO80,0.457
BRD4,RPL17,0.457
BRD4,POLR2L,0.457
BRD4,SUZ12,0.457
BRD4,ZFR,0.457
BRD4,MED20,0.457
BRD4,RPS3,0.457
BRD4,STAT3,0.633
BRD4,RPS15A,0.457
BRD4,BLVRA,0.461
BRD4,RNF2,0.457
BRD4,H3C12,0.974
BRD4,WDR20,0.42
BRD4,CCNC,0.457
BRD4,CDK8,0.486
BRD4,CDC27,0.457
BRD4,GNL3,0.457
BRD4,POLR2B,0.457
BRD4,TNF,0.575
BRD4,TAF6,0.457
BRD4,MED30,0.457
BRD4,TEX10,0.457
BRD4,PRPF31,0.457
BRD4,RNF20,0.457
BRD4,TARS1,0.457
BRD4,WDR36,0.457
BRD4,PSMG1,0.457
BRD4,RRP1B,0.457
BRD4,TOP1,0.457
BRD4,RB1,0.457
BRD4,TFAM,0.457
BRD4,CDC73,0.457
BRD4,ABCE1,0.457
BRD4,CHAF1A,0.457
BRD4,MED1,0.457
BRD4,SMARCB1,0.457
BRD4,POLR2A,0.618
BRD4,SMC4,0.457
BRD4,ELOC,0.886
BRD4,KMT5B,0.564
BRD4,TP53BP1,0.535
BRD4,CPNE3,0.457
BRD4,FSCN1,0.457
BRD4,GPATCH4,0.42
BRD4,DSC2,0.457
BRD4,HDAC2,0.457
BRD4,CHD9,0.457
BRD4,CSNK2B,0.457
BRD4,ATRX,0.618
BRD4,HSP90AA1,0.457
BRD4,MAP4,0.457
BRD4,H4C14,0.499
BRD4,DNMT1,0.457
BRD4,MED14,0.457
BRD4,LIG3,0.457
BRD4,KDM6A,0.457
BRD4,CUL2,0.594
BRD4,WDR5,0.587
BRD4,MED26,0.457
BRD4,E2F1,0.757
BRD4,RPS2,0.457
BRD4,RSF1,0.457
BRD4,TAF1,0.508
BRD4,FOXO3,0.921
BRD4,PBRM1,0.457
BRD4,NIPBL,0.895
BRD4,AFF1,0.457
BRD4,CFDP1,0.414
BRD4,MED19,0.457
BRD4,POLR2H,0.457
BRD4,PRPF40A,0.457
BRD4,TAF7,0.437
BRD4,CDC5L,0.457
BRD4,CHD4,0.927
BRD4,MED23,0.457
BRD4,MED21,0.457
BRD4,NVL,0.457
BRD4,RPL11,0.457
BRD4,RBM15,0.457
BRD4,H3C14,0.485
BRD4,TSR1,0.457
BRD4,H3C13,0.979
BRD4,HDAC1,0.714
BRD4,LARP7,0.661
BRD4,CUL3,0.457
MED26,PPARG,0.499
BRD4,TP53,0.957
BRD4,PAICS,0.563
MED26,MED30,0.991
MED26,POLR2F,0.922
MED26,TAF2,0.852
MED26,H4C8,0.807
MED26,GTF2H5,0.8
MED26,CDK9,0.66
MED26,CDK19,0.886
MED26,H4C15,0.807
MED26,AFF4,0.457
MED26,H4C5,0.807
MED26,GTF2H2,0.818
MED26,POLR2A,0.9
MED26,TAF9,0.852
MED26,TAF7,0.852
MED26,H4-16,0.807
MED26,TAF13,0.852
MED26,POLR2K,0.9
MED26,POLR2H,0.922
MED26,ERCC2,0.825
MED26,GTF2H1,0.822
MED26,POLR2E,0.923
MED26,H4C1,0.807
MED26,H4C14,0.807
MED26,H2BC11,0.8
MED26,MED14,0.996
MED26,GTF2A1,0.808
MED26,GTF2F2,0.842
MED26,MED6,0.991
MED26,H4C12,0.807
MED26,CDK6,0.54
MED26,POLR2L,0.922
MED26,MED1,0.992
MED26,H3C14,0.805
MED26,CCNC,0.918
MED26,H3C15,0.805
MED26,TAF1,0.852
MED26,H2AZ1,0.8
MED26,TAF10,0.852
MED26,GTF2H3,0.822
MED26,MED20,0.985
MED26,NCOA2,0.499
MED26,H3C13,0.805
MED26,TAF5,0.852
MED26,REST,0.414
MED26,H4C4,0.807
MED26,POLR2G,0.922
MED26,H4C3,0.807
MED26,POLR2D,0.922
MED26,H4C2,0.807
MED26,TAF6,0.862
BRD4,UHRF1,0.457
BRD4,CDK9,0.989
BRD4,MTHFD1,0.88
BRD4,CCNT2,0.862
BRD4,MCM6,0.457
BRD4,GTF2F2,0.457
BRD4,H3-4,0.973
BRD4,RACK1,0.457
MED26,NCOA3,0.499
MED26,CCNH,0.8
ALG6,ALG8,0.658
BIRC3,TNFRSF13C,0.499
MED26,MED19,0.994
MED26,GTF2E1,0.829
MED26,POLR2J,0.925
MED26,H4C13,0.807
MED26,POLR2B,0.927
MED26,ERCC3,0.825
MED26,MED21,0.998
BIRC3,LTA,0.499
MED26,MED23,0.987
MED26,H4C11,0.807
MED26,H4C9,0.807
MED26,MED13,0.958
MED26,MED7,0.996
MED26,CDK8,0.963
BIRC3,UBA52,0.499
BIRC3,SPHK1,0.546
BIRC3,TAB2,0.499
BIRC3,UBC,0.716
BIRC3,CD40,0.514
BIRC3,MAP3K7,0.561
BIRC3,CASP7,0.733
BIRC3,TBK1,0.499
BIRC3,RPS27A,0.689
BIRC3,CASP3,0.892
P4HA1,CSTF2,0.42
BIRC3,BCL10,0.671
BIRC3,TNFSF13B,0.499
MTIF2,MRPS22,0.9
BIRC3,TNF,0.843
BIRC3,UBB,0.513
BIRC3,REL,0.435
BIRC3,TRAF6,0.94
BIRC3,COMMD1,0.667
BIRC3,TNFRSF1B,0.818
BIRC3,TNFAIP3,0.63
P4HA1,SMN1,0.416
MTIF2,RPS24,0.485
MTIF2,RPS3A,0.487
MTIF2,MRPS33,0.9
MTIF2,FAU,0.749
MTIF2,MRPL17,0.873
MTIF2,RPS19,0.487
MTIF2,RPL23,0.499
MTIF2,RPS17,0.487
MTIF2,MRPL47,0.809
MTIF2,MRPL35,0.8
MTIF2,MRPS12,0.942
MTIF2,MRPS11,0.939
MTIF2,MRM1,0.43
MTIF2,RPL5,0.499
MTIF2,RPS11,0.499
MTIF2,MRPL30,0.8
MTIF2,MRPL39,0.851
MTIF2,MRPL48,0.809
MTIF2,MRPL12,0.856
MTIF2,MRPS27,0.9
MTIF2,MRPL45,0.809
MTIF2,MTIF3,0.9
MTIF2,RPL23A,0.501
MTIF2,HSD17B8,0.447
MTIF2,MRPL19,0.873
MTIF2,RPL11,0.505
MTIF2,MRPS30,0.9
MTIF2,MRPL58,0.86
MTIF2,RPL38,0.463
MTIF2,RPS6,0.485
MTIF2,RPS18,0.499
MTIF2,MRPL36,0.406
MTIF2,MRPS18C,0.901
MECR,ACOX3,0.9
MTIF2,MRPL3,0.873
MTIF2,RPS3,0.499
MTIF2,RPS28,0.485
PNO1,RPS29,0.829
PNO1,RPS27,0.934
PNO1,RPS4X,0.925
PNO1,TSR1,0.971
PNO1,RPS16,0.888
PNO1,WDR36,0.913
PNO1,RPS24,0.88
PNO1,DNTTIP2,0.869
PNO1,RPS3A,0.935
PNO1,RPS23,0.883
PNO1,SNU13,0.869
PNO1,RPS14,0.932
PNO1,RPS27A,0.842
PNO1,RPS19,0.869
PNO1,RACK1,0.878
PNO1,RPS17,0.842
PNO1,UTP11,0.869
PNO1,RPS18,0.868
PNO1,RPS13,0.882
PNO1,RPS5,0.883
PNO1,RPS8,0.869
PNO1,RPS11,0.889
PNO1,WDR75,0.872
SELP,CD40,0.965
SELP,PTX3,0.865
MTIF2,MRPS23,0.9
MTIF2,MRPL13,0.873
MTIF2,MRPL2,0.867
MTIF2,RNASEL,0.591
MTIF2,MRPL22,0.873
MTIF2,MRPS31,0.9
MTIF2,MRPS14,0.935
PNO1,LTV1,0.956
PNO1,RPS7,0.88
PNO1,RCL1,0.905
PNO1,RIOK2,0.919
PNO1,RPS2,0.857
PNO1,C1orf131,0.8
PNO1,BMS1,0.907
PNO1,NGDN,0.869
PNO1,UTP4,0.872
PNO1,RIOK1,0.842
PNO1,NOL10,0.869
PNO1,RPS3,0.87
PNO1,RPS15A,0.871
PNO1,RPS28,0.935
PNO1,UTP14A,0.983
PNO1,RPS27L,0.654
PNO1,HEATR1,0.869
PNO1,WDR3,0.947
PNO1,FAU,0.882
PNO1,DCAF13,0.869
PNO1,RPS6,0.883
PNO1,RPS9,0.881
PNO1,WDR43,0.869
POLD3,RPS27A,0.499
POLD3,UBA52,0.499
POLD3,UBB,0.499
MECR,SNX30,0.61
MECR,ACADSB,0.9
SRBD1,POLR2G,0.412
POLD3,UBC,0.499
SELP,PODXL2,0.463
SELP,CXCL8,0.71
SRBD1,TNKS1BP1,0.476
POLD3,REV3L,0.992
OSBP,MOSPD2,0.601
POLD3,CUL4B,0.499
POLD3,RFC5,0.499
POLD3,RFC1,0.499
POLD3,POLG2,0.9
POLD3,TERF1,0.499
POLD3,PCNA,0.989
SELP,HMGB1,0.617
SELP,CD44,0.982
CHMP2B,UEVLD,0.54
CHMP2B,UBC,0.499
CHMP2B,VTA1,0.579
CHMP2B,MVB12B,0.9
CHMP2B,NEDD4L,0.499
CHMP2B,UBB,0.499
CHMP2B,STAM,0.9
CHMP2B,VPS37A,0.9
CHMP2B,STAM2,0.72
CHMP2B,SPAST,0.499
CHMP2B,VPS36,0.9
CHMP2B,RPS27A,0.499
CHMP2B,UBA52,0.499
SELP,GP1BA,0.986
SELP,ADAM9,0.564
OSBP,CISD2,0.426
LTK,PIK3R1,0.457
POLR1A,POLR2L,0.996
POLR1A,GPN1,0.6
POLR1A,POLR2K,0.993
POLR1A,POLR3A,0.666
POLR1A,GTF2H1,0.499
POLR1A,GTF2H5,0.499
POLR1A,POLR2F,0.998
POLR1A,TTF1,0.499
POLR1A,POLR1C,0.997
POLR1A,CCNH,0.499
POLR1A,POLR1B,0.999
POLR1A,POLR1E,0.997
POLR1A,POLR2E,0.998
POLR1A,POLR2B,0.829
POLR1A,TAF1C,0.579
POLR1A,ZNRD1,0.998
POLR1A,POLR3K,0.496
POLR1A,ERCC3,0.499
POLR1A,ERCC2,0.499
POLR1A,TAF1D,0.565
POLR1A,GTF2H3,0.499
POLR1A,POLR2H,0.998
POLR1A,ERBB2,0.626
POLR1A,POLR3D,0.552
POLR1A,DDX21,0.499
POLR1A,GPN3,0.518
POLR1A,GTF2H2,0.499
POLR1A,WDR92,0.418
STAM2,EGFR,0.716
STAM2,MVB12B,0.72
STAM2,RIN1,0.671
STAM2,VPS37A,0.72
STAM2,UBB,0.952
STAM2,EPN1,0.501
STAM2,UEVLD,0.562
STAM2,RHOU,0.586
STAM2,STAMBP,0.998
STAM2,PTPN1,0.579
STRN,SRC,0.877
STAM2,STAM,0.99
STRN,SIKE1,0.801
STRN,STK26,0.862
STAM2,GRB2,0.4
STRN,ZRANB1,0.457
STAM2,UBA52,0.947
STRN,GCC2,0.499
STAM2,RPS27A,0.97
STAM2,USP8,0.972
STAM2,TGFA,0.499
STRN,GNG5,0.499
STRN,STRN3,0.989
STRN,PIK3CA,0.4
STAM2,VPS36,0.72
STAM2,ITSN2,0.4
STRN,RANBP2,0.499
STAM2,UBC,0.98
STRN,MOB4,0.98
STRN,TNKS2,0.482
STRN,PPP2R1B,0.738
GTF3C3,POLR3A,0.592
GTF3C3,POLR2F,0.499
GTF3C3,POLR2L,0.499
STRN,GNAI2,0.499
STRN,ESR1,0.922
GTF3C3,POLR2K,0.499
GTF3C3,POLR2E,0.515
GTF3C3,POLR2H,0.499
GTF3C3,POLR3K,0.499
GTF3C3,BDP1,0.54
STRN,KIF5B,0.499
STRN,STK24,0.87
STRN,PPM1B,0.4
STRN,EIF2AK3,0.4
PIK3CA,PIK3C2A,0.636
PIK3CA,CSF1,0.513
PIK3CA,SOCS5,0.54
PIK3CA,SOCS4,0.54
PIK3CA,PIK3R6,0.9
GTF3C3,TP53BP1,0.439
GTF3C3,POLR3D,0.691
GTF3C3,POLR3F,0.499
STRN,WDCP,0.499
GTF3C3,GTF3C4,0.989
GTF3C3,POLR1C,0.499
STRN,PIK3R1,0.4
PIK3CA,IL2RA,0.4
PIK3CA,CD28,0.557
PIK3CA,IL3RA,0.4
PIK3CA,PDPK1,0.418
PIK3CA,TRAT1,0.4
PIK3CA,EGFR,0.899
PIK3CA,PIK3R1,0.999
PIK3CA,KL,0.4
PIK3CA,CD2AP,0.499
PIK3CA,INPPL1,0.499
PIK3CA,ERBB2,0.446
PIK3CA,PDGFB,0.4
PIK3CA,SOCS7,0.54
PIK3CA,PTPN11,0.953
PIK3CA,GAB3,0.499
PIK3CA,PTK2B,0.421
PIK3CA,APPL1,0.644
PIK3CA,TRIM24,0.499
PIK3CA,FRS2,0.4
PIK3CA,FCGR2A,0.499
PIK3CA,HSP90AA1,0.714
PIK3CA,SRC,0.547
PIK3CA,ZMYM2,0.499
PIK3CA,IL5RA,0.4
PIK3CA,TGFA,0.4
PIK3CA,UVRAG,0.589
PIK3CA,ESR1,0.707
PIK3CA,CD19,0.607
PIK3CA,YES1,0.52
PIK3CA,GOLGB1,0.499
PIK3CA,CNTRL,0.499
PIK3CA,KIF5B,0.499
PIK3CA,GNAQ,0.73
SLC9A1,PPP3CA,0.9
PIK3CA,STAT3,0.571
SLC9A1,PTPN11,0.412
PIK3CA,NRAS,0.65
PIK3CA,SOS1,0.538
PIK3CA,PIK3CG,0.996
SLC9A1,TESC,0.826
PIK3CA,BAG4,0.645
PIK3CA,NME1,0.441
SLC9A1,HSPA4,0.704
PIK3CA,LYN,0.544
SLC9A1,CHP1,0.986
SLC9A1,ATP1B1,0.72
SLC9A1,CD44,0.809
LCAT,PCYOX1,0.72
SLC9A1,ATP1A1,0.72
PIK3CA,CPSF6,0.499
LCAT,PIKFYVE,0.487
PIK3CA,ICOS,0.4
LCAT,LPL,0.54
PIK3CA,GRB2,0.702
PIK3CA,TRIP11,0.499
TUBB4A,HAUS1,0.499
TUBB4A,TUBA1B,0.96
LCAT,PEX3,0.72
LCAT,IGLL5,0.9
TUBB4A,TUBB2A,0.572
LCAT,PLA2G7,0.72
LCAT,SELENOS,0.72
TUBB4A,HAUS6,0.499
TUBB4A,TUBA1C,0.961
TUBB4A,HSP90AA1,0.408
LCAT,LSR,0.54
LCAT,LDLR,0.54
LCAT,CLU,0.761
TUBB4A,H3C1,0.424
LCAT,PLTP,0.72
TUBB4A,VBP1,0.499
TUBB4A,HAUS5,0.499
LCAT,APOL1,0.72
HAT1,H4C13,0.59
TUBB4A,SDCCAG8,0.439
HAT1,H4C9,0.489
HAT1,H3C1,0.55
TUBB4A,ACTB,0.475
TUBB4A,H3C12,0.422
FCER2,PAX5,0.455
HAT1,H3C13,0.917
ATF2,H2AZ1,0.499
ATF2,H3C12,0.499
HAT1,H4C3,0.609
HAT1,H4C2,0.604
HAT1,H3C12,0.968
ATF2,CREB3L4,0.9
ATF2,H3C13,0.499
ATF2,TP53,0.647
ATF2,ACTB,0.72
ATF2,H2BC9,0.499
ATF2,H2AC20,0.499
ATF2,ATM,0.457
ATF2,OGT,0.72
ATF2,SMAD4,0.667
ATF2,MBTD1,0.72
ATF2,H2BC4,0.499
ATF2,RB1,0.457
HAT1,H4C14,0.476
ATF2,MAPK11,0.647
HAT1,H3-4,0.938
ATF2,POU2F1,0.63
ATF2,CREB1,0.956
ATF2,H2AC6,0.499
ATF2,WDR5,0.741
ATF2,ING3,0.723
ATF2,H2BC21,0.499
ATF2,MAPK8,0.943
ATF2,MLLT3,0.54
ATF2,ACTL6A,0.72
ATF2,NFYA,0.57
ATF2,H2BC17,0.499
ATF2,HNMT,0.41
ATF2,TLE1,0.547
ATF2,ESR1,0.499
ATF2,RPS6KA5,0.402
ATF2,RUVBL1,0.72
ATF2,H2BC11,0.499
MCM6,H4C2,0.432
MCM6,SPIN2B,0.422
MCM6,ORC4,0.941
MCM6,TIMELESS,0.872
MCM6,ELOC,0.8
MCM6,H4C13,0.459
MCM6,MCM2,0.999
MCM6,CUL2,0.8
MCM6,CDK2,0.619
MCM6,H3C1,0.58
MCM6,RECQL4,0.457
MCM6,LRR1,0.8
MCM6,MCM9,0.941
CCNT2,ELOC,0.9
CCNT2,SNAPC5,0.499
CCNT2,POU2F1,0.499
CCNT2,GTF2H1,0.9
CCNT2,GTF2H2C,0.54
CCNT2,HEXIM2,0.612
CCNT2,POLR2E,0.499
CCNT2,ERCC3,0.9
CCNT2,POLR2H,0.499
CCNT2,ERCC2,0.9
CCNT2,CCNH,0.9
CCNT2,AFF1,0.983
CCNT2,GTF2F2,0.499
CCNT2,POLR2J,0.499
CCNT2,ELP2,0.72
CCNT2,CDK8,0.499
CCNT2,TAF13,0.499
MCM6,H3C12,0.407
CCNT2,RB1,0.556
CCNT2,POLR2K,0.499
CCNT2,CDC73,0.9
CCNT2,POLR2B,0.499
CCNT2,GTF2A1,0.499
CCNT2,MLLT3,0.962
CCNT2,GTF2E1,0.499
CCNT2,TAF6,0.499
MCM6,MCM8,0.981
CCNT2,LEO1,0.921
CCNT2,RTF1,0.9
CCNT2,POLR2L,0.499
CCNT2,POU2F2,0.499
MCM6,H4C3,0.431
CCNT2,CDK9,0.999
CCNT2,TAF5,0.499
CCNT2,GTF2H5,0.54
CCNT2,POLR2F,0.586
CCNT2,CCNK,0.821
CCNT2,BCCIP,0.9
CCNT2,GTF2H3,0.9
CCNT2,AFF4,0.995
CCNT2,WDR61,0.9
DARS1,EPRS1,0.998
CCNT2,CCNC,0.499
CCNT2,TAF9,0.499
CCNT2,POLR2G,0.499
CCNT2,SNAPC3,0.499
CCNT2,ICE1,0.9
CCNT2,POLR2D,0.499
CCNT2,LARP7,0.643
CCNT2,POLR2A,0.499
DARS1,AIMP1,0.965
CCNT2,GTF2H2,0.9
CCNT2,HMGN3,0.663
CCNT2,ZNF143,0.499
AGPS,PEX10,0.499
AGPS,GNPAT,0.827
ARID4B,DNMT1,0.499
ARID4B,REST,0.499
ARID4B,CHD3,0.58
ARID4B,HDAC2,0.934
ARID4B,H3C1,0.406
ARID4B,ARID4A,0.818
ARID4B,ACTL6A,0.577
DARS1,VBP1,0.538
DARS1,IARS1,0.982
NID1,CD44,0.982
ARID4B,RBL1,0.53
ARID4B,CHD4,0.499
ARID4B,PBRM1,0.483
ARID4B,SAP30,0.971
NID1,EMILIN1,0.542
ARID4B,ING2,0.859
ARHGAP31,RHOU,0.499
ARID4B,SMARCB1,0.599
ARID4B,HDAC1,0.932
ARID4B,OGT,0.54
ARID4B,RB1,0.53
NID1,AGRN,0.93
ARID4B,SAP130,0.947
TXNDC9,INSR,0.94
NID1,DAG1,0.437
